"name","SMILES","InChI","InChIKey","formula","neutralMass","molNeutralized","mz"
"Ciprofloxacin-TP18","N1C=C(C(=O)C2=CC(=C(C=C21)N(CC=O)CCN)F)C(=O)O","InChI=1S/C14H14FN3O4/c15-10-5-8-11(17-7-9(13(8)20)14(21)22)6-12(10)18(2-1-16)3-4-19/h4-7H,1-3,16H2,(H,17,20)(H,21,22)","XFSLRDASGLEULP-UHFFFAOYSA-N","C14H14FN3O4",307.096834148,FALSE,NA
"Ciprofloxacin-TP19","N1C=C(C(=O)C2=CC(=C(C=C21)NCCNCC=O)F)C(=O)O","InChI=1S/C14H14FN3O4/c15-10-5-8-11(18-7-9(13(8)20)14(21)22)6-12(10)17-2-1-16-3-4-19/h4-7,16-17H,1-3H2,(H,18,20)(H,21,22)","ADIQYKMQWVSBIX-UHFFFAOYSA-N","C14H14FN3O4",307.096834148,FALSE,NA
"Citalopram-TP1","CN(C)CCCC1(c2c(CO1)cc(cc2)C(=O)O)c1ccc(cc1)F","InChI=1S/C20H22FNO3/c1-22(2)11-3-10-20(16-5-7-17(21)8-6-16)18-9-4-14(19(23)24)12-15(18)13-25-20/h4-9,12H,3,10-11,13H2,1-2H3,(H,23,24)","GECQEQCYCDJXJC-UHFFFAOYSA-N","C20H22FNO3",343.158371784,TRUE,NA
"Citalopram-TP2","CN(C)CCCC1(C2=C(CO1)C=C(C=C2)O)C3=CC=C(C=C3)F","InChI=1S/C19H22FNO2/c1-21(2)11-3-10-19(15-4-6-16(20)7-5-15)18-9-8-17(22)12-14(18)13-23-19/h4-9,12,22H,3,10-11,13H2,1-2H3","SNQTZPUKCNSNEH-UHFFFAOYSA-N","C19H22FNO2",315.163457164,FALSE,NA
"Citalopram-TP3","C#N","InChI=1S/CHN/c1-2/h1H","LELOWRISYMNNSU-UHFFFAOYSA-N","CHN",27.010899032,FALSE,NA
"Citalopram-TP4","N(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F","InChI=1S/C19H19FN2O/c1-22-10-2-9-19(16-4-6-17(20)7-5-16)18-8-3-14(12-21)11-15(18)13-23-19/h3-8,11,22H,2,9-10,13H2,1H3","PTJADDMMFYXMMG-UHFFFAOYSA-N","C19H19FN2O",310.148141448,FALSE,NA
"Citalopram-TP5","CNC","InChI=1S/C2H7N/c1-3-2/h3H,1-2H3","ROSDSFDQCJNGOL-UHFFFAOYSA-N","C2H7N",45.057849224,FALSE,NA
"Citalopram-TP6","C(CCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F)=O","InChI=1S/C18H14FNO2/c19-16-5-3-15(4-6-16)18(8-1-9-21)17-7-2-13(11-20)10-14(17)12-22-18/h2-7,9-10H,1,8,12H2","BBYAFETUIKMLSF-UHFFFAOYSA-N","C18H14FNO2",295.100856908,FALSE,NA
"Citalopram-TP7","CN(C)CCCC1(C2=C(C(O1)O)C=C(C=C2)C#N)C3=CC=C(C=C3)F","InChI=1S/C20H21FN2O2/c1-23(2)11-3-10-20(15-5-7-16(21)8-6-15)18-9-4-14(13-22)12-17(18)19(24)25-20/h4-9,12,19,24H,3,10-11H2,1-2H3","LJPQJFHBFOOIHE-UHFFFAOYSA-N","C20H21FN2O2",340.158706132,FALSE,NA
"Citalopram-TP8","CN(C)CCCC1(c2c(CO1)cc(cc2)C(=O)O)c1c(c(c(cc1)F)O)O","InChI=1S/C20H22FNO5/c1-22(2)9-3-8-20(15-6-7-16(21)18(24)17(15)23)14-5-4-12(19(25)26)10-13(14)11-27-20/h4-7,10,23-24H,3,8-9,11H2,1-2H3,(H,25,26)","HRFHZFFBNBWLPU-UHFFFAOYSA-N","C20H22FNO5",375.148201024,TRUE,NA
"Citalopram-TP9","CN(C)CCCC1(c2c(CO1)cc(c(c2O)O)C(=O)O)c1ccc(cc1)F","InChI=1S/C20H22FNO5/c1-22(2)9-3-8-20(13-4-6-14(21)7-5-13)16-12(11-27-20)10-15(19(25)26)17(23)18(16)24/h4-7,10,23-24H,3,8-9,11H2,1-2H3,(H,25,26)","BBJKEKFEYVMGIL-UHFFFAOYSA-N","C20H22FNO5",375.148201024,TRUE,NA
"Citalopram-TP10","N(C)CCCC1(c2c(CO1)cc(cc2)C(=O)O)c1ccc(cc1)F","InChI=1S/C19H20FNO3/c1-21-10-2-9-19(15-4-6-16(20)7-5-15)17-8-3-13(18(22)23)11-14(17)12-24-19/h3-8,11,21H,2,9-10,12H2,1H3,(H,22,23)","OMDYZORXVPCYCN-UHFFFAOYSA-N","C19H20FNO3",329.14272172,TRUE,NA
"Citalopram-TP11","C(=O)CCC1(c2c(CO1)cc(cc2)C(=O)O)c1ccc(cc1)F","InChI=1S/C18H15FO4/c19-15-5-3-14(4-6-15)18(8-1-9-20)16-7-2-12(17(21)22)10-13(16)11-23-18/h2-7,9-10H,1,8,11H2,(H,21,22)","PRQRIVIVONEJCN-UHFFFAOYSA-N","C18H15FO4",314.09543718,TRUE,NA
"Citalopram-TP12","CN(C)CCCC1(c2c(C(O1)O)cc(cc2)C(=O)O)c1ccc(cc1)F","InChI=1S/C20H22FNO4/c1-22(2)11-3-10-20(14-5-7-15(21)8-6-14)17-9-4-13(18(23)24)12-16(17)19(25)26-20/h4-9,12,19,25H,3,10-11H2,1-2H3,(H,23,24)","FIDSFRHEFGZOMQ-UHFFFAOYSA-N","C20H22FNO4",359.153286404,TRUE,NA
"Citalopram-TP13","CN(C)CCCC1(C2=CC([C](=[CH]=C2CO1)(C(=O)O)O)O)c1ccc(cc1)F","InChI=1S/C20H24FNO5/c1-22(2)9-3-8-20(14-4-6-15(21)7-5-14)16-10-17(23)19(26,18(24)25)11-13(16)12-27-20/h4-7,10-11,17,23,26H,3,8-9,12H2,1-2H3,(H,24,25)","VJMFCJMCMXPUOZ-UHFFFAOYSA-N","C20H24FNO5",377.163851088,TRUE,NA
